Time,Potentiometer,Distance
07/27/2021_20:38:11.218,356.73,169.99
07/27/2021_20:38:11.258,356.73,169.99
07/27/2021_20:38:11.329,356.73,169.91
07/27/2021_20:38:11.440,356.73,170.64
07/27/2021_20:38:11.551,356.73,170.79
07/27/2021_20:38:11.663,356.73,170.78
07/27/2021_20:38:11.760,356.73,170.78
07/27/2021_20:38:11.773,356.73,156.81
07/27/2021_20:38:11.884,356.73,170.35
07/27/2021_20:38:11.995,356.73,172.31
07/27/2021_20:38:12.106,356.73,157.81
07/27/2021_20:38:12.217,356.73,171.23
07/27/2021_20:38:12.261,356.73,171.23
07/27/2021_20:38:12.328,356.73,170.4
07/27/2021_20:38:12.440,356.73,170.4
07/27/2021_20:38:12.551,356.73,170.39
07/27/2021_20:38:12.661,356.73,155.28
07/27/2021_20:38:12.762,357.82,155.28
07/27/2021_20:38:12.773,357.82,170.81
07/27/2021_20:38:12.883,357.82,156.3
07/27/2021_20:38:12.994,357.82,170.35
07/27/2021_20:38:13.106,357.82,170.36
07/27/2021_20:38:13.217,357.82,170.79
07/27/2021_20:38:13.269,356.73,170.79
07/27/2021_20:38:13.328,356.73,170.8
07/27/2021_20:38:13.439,356.73,157.66
07/27/2021_20:38:13.550,356.73,170.39
07/27/2021_20:38:13.661,356.73,170.33
07/27/2021_20:38:13.771,356.73,155.17
07/27/2021_20:38:13.772,356.73,155.17
07/27/2021_20:38:13.883,356.73,169.94
07/27/2021_20:38:13.995,356.73,170.83
07/27/2021_20:38:14.106,356.73,170.34
07/27/2021_20:38:14.217,356.73,170.76
07/27/2021_20:38:14.274,356.73,170.76
07/27/2021_20:38:14.327,356.73,153.95
07/27/2021_20:38:14.438,356.73,169.93
07/27/2021_20:38:14.549,356.73,158.68
07/27/2021_20:38:14.660,356.73,169.9
07/27/2021_20:38:14.771,356.73,170.75
07/27/2021_20:38:14.775,356.73,170.75
07/27/2021_20:38:14.882,356.73,155.43
07/27/2021_20:38:14.993,356.73,169.94
07/27/2021_20:38:15.104,356.73,170.4
07/27/2021_20:38:15.215,356.73,170.82
07/27/2021_20:38:15.276,356.73,170.82
07/27/2021_20:38:15.326,356.73,172.16
07/27/2021_20:38:15.437,356.73,156.11
07/27/2021_20:38:15.548,356.73,170.82
07/27/2021_20:38:15.659,356.73,169.91
07/27/2021_20:38:15.770,356.73,170.34
07/27/2021_20:38:15.777,356.73,170.34
07/27/2021_20:38:15.881,356.73,173.01
07/27/2021_20:38:15.992,356.73,154.61
07/27/2021_20:38:16.103,356.73,170.4
07/27/2021_20:38:16.214,356.73,169.86
07/27/2021_20:38:16.278,356.73,169.86
07/27/2021_20:38:16.325,356.73,169.91
07/27/2021_20:38:16.436,356.73,172.13
07/27/2021_20:38:16.548,356.73,170.41
07/27/2021_20:38:16.659,356.73,169.9
07/27/2021_20:38:16.770,356.73,172.1
07/27/2021_20:38:16.780,356.73,172.1
07/27/2021_20:38:16.881,356.73,169.91
07/27/2021_20:38:16.993,356.73,173.0
07/27/2021_20:38:17.103,356.73,154.32
07/27/2021_20:38:17.214,356.73,170.35
07/27/2021_20:38:17.281,357.82,170.35
07/27/2021_20:38:17.326,357.82,171.69
07/27/2021_20:38:17.438,357.82,169.91
07/27/2021_20:38:17.549,357.82,172.56
07/27/2021_20:38:17.659,357.82,154.39
07/27/2021_20:38:17.771,357.82,170.4
07/27/2021_20:38:17.782,356.73,170.4
07/27/2021_20:38:17.882,356.73,171.24
07/27/2021_20:38:17.993,356.73,170.81
07/27/2021_20:38:18.105,356.73,173.04
07/27/2021_20:38:18.216,356.73,157.21
07/27/2021_20:38:18.284,358.91,157.21
07/27/2021_20:38:18.327,358.91,169.94
07/27/2021_20:38:18.439,358.91,169.94
07/27/2021_20:38:18.550,358.91,170.57
07/27/2021_20:38:18.661,358.91,171.23
07/27/2021_20:38:18.772,358.91,155.79
07/27/2021_20:38:18.785,356.73,155.79
07/27/2021_20:38:18.883,356.73,169.9
07/27/2021_20:38:18.995,356.73,169.89
07/27/2021_20:38:19.106,356.73,170.4
07/27/2021_20:38:19.217,356.73,172.53
07/27/2021_20:38:19.286,356.73,172.53
07/27/2021_20:38:19.328,356.73,155.39
07/27/2021_20:38:19.439,356.73,169.91
07/27/2021_20:38:19.549,356.73,159.06
07/27/2021_20:38:19.661,356.73,170.81
07/27/2021_20:38:19.772,356.73,170.77
07/27/2021_20:38:19.787,356.73,170.77
07/27/2021_20:38:19.883,356.73,171.69
07/27/2021_20:38:19.995,356.73,171.64
07/27/2021_20:38:20.105,356.73,157.13
07/27/2021_20:38:20.216,356.73,170.36
07/27/2021_20:38:20.289,356.73,170.36
07/27/2021_20:38:20.327,356.73,170.36
07/27/2021_20:38:20.438,356.73,154.93
07/27/2021_20:38:20.549,356.73,171.67
07/27/2021_20:38:20.660,356.73,170.81
07/27/2021_20:38:20.771,356.73,170.34
07/27/2021_20:38:20.790,356.73,170.34
07/27/2021_20:38:20.883,356.73,169.88
07/27/2021_20:38:20.993,356.73,156.17
07/27/2021_20:38:21.104,356.73,171.32
07/27/2021_20:38:21.215,356.73,156.3
07/27/2021_20:38:21.292,357.82,156.3
07/27/2021_20:38:21.326,357.82,169.91
07/27/2021_20:38:21.437,357.82,169.95
07/27/2021_20:38:21.547,357.82,156.9
07/27/2021_20:38:21.659,357.82,174.28
07/27/2021_20:38:21.769,357.82,155.26
07/27/2021_20:38:21.794,356.73,155.26
07/27/2021_20:38:21.880,356.73,170.82
07/27/2021_20:38:21.992,356.73,169.97
07/27/2021_20:38:22.104,356.73,170.81
07/27/2021_20:38:22.215,356.73,173.59
07/27/2021_20:38:22.295,356.73,173.59
07/27/2021_20:38:22.326,356.73,155.11
07/27/2021_20:38:22.437,356.73,170.37
07/27/2021_20:38:22.548,356.73,170.81
07/27/2021_20:38:22.659,356.73,170.35
07/27/2021_20:38:22.774,356.73,234.28
07/27/2021_20:38:22.796,357.82,234.28
07/27/2021_20:38:22.885,357.82,153.89
07/27/2021_20:38:22.996,357.82,169.94
07/27/2021_20:38:23.107,357.82,170.84
07/27/2021_20:38:23.219,357.82,171.72
07/27/2021_20:38:23.297,356.73,171.72
07/27/2021_20:38:23.330,356.73,172.11
07/27/2021_20:38:23.440,356.73,154.66
07/27/2021_20:38:23.552,356.73,170.79
07/27/2021_20:38:23.663,356.73,170.25
07/27/2021_20:38:23.775,356.73,170.44
07/27/2021_20:38:23.799,356.73,170.44
07/27/2021_20:38:23.886,356.73,170.79
07/27/2021_20:38:23.997,356.73,170.38
07/27/2021_20:38:24.109,356.73,172.53
07/27/2021_20:38:24.219,356.73,157.49
07/27/2021_20:38:24.300,356.73,157.49
07/27/2021_20:38:24.331,356.73,170.83
07/27/2021_20:38:24.442,356.73,171.69
07/27/2021_20:38:24.552,356.73,154.12
07/27/2021_20:38:24.663,356.73,172.22
07/27/2021_20:38:24.775,356.73,156.3
07/27/2021_20:38:24.801,356.73,156.3
07/27/2021_20:38:24.886,356.73,169.96
07/27/2021_20:38:24.998,356.73,170.83
07/27/2021_20:38:25.109,356.73,170.43
07/27/2021_20:38:25.220,356.73,172.29
07/27/2021_20:38:25.302,356.73,172.29
07/27/2021_20:38:25.331,356.73,154.81
07/27/2021_20:38:25.442,356.73,172.08
07/27/2021_20:38:25.553,356.73,170.86
07/27/2021_20:38:25.664,356.73,169.99
07/27/2021_20:38:25.776,356.73,171.7
07/27/2021_20:38:25.803,356.73,171.7
07/27/2021_20:38:25.886,356.73,156.39
07/27/2021_20:38:25.997,356.73,169.91
07/27/2021_20:38:26.108,356.73,171.7
07/27/2021_20:38:26.220,356.73,170.87
07/27/2021_20:38:26.305,356.73,170.87
